id,pillar,title,params
325,min_trap,"$10,500 at 17% APR, minimum payments only. Brutal math","{""balance"":10500,""apr"":17,""min_pct"":1,""min_floor"":25}"
326,extra_payment,"$42,000 at 27%: paying $1,060 vs $1,210 a month","{""balance"":42000,""apr"":27,""payment"":1060,""extra"":150}"
327,snowball_vs_avalanche,"Smallest balance first or highest APR first? $23,100 test","{""debts"":[{""name"":""Personal loan"",""balance"":5500,""apr"":20,""min"":140},{""name"":""Card C"",""balance"":3200,""apr"":15,""min"":80},{""name"":""Card B"",""balance"":1000,""apr"":25,""min"":25},{""name"":""Card A"",""balance"":9400,""apr"":12,""min"":235},{""name"":""Card D"",""balance"":4000,""apr"":14,""min"":100}],""budget"":680}"
328,utilization,"Pay this much before your statement closes ($650 on $1,000)","{""balance"":650,""limit"":1000}"
329,min_trap,"Paying only the minimum on $17,250 takes HOW long?","{""balance"":17250,""apr"":28,""min_pct"":1,""min_floor"":25}"
330,extra_payment,"The $75 trick that saves months on $11,750 of debt","{""balance"":11750,""apr"":28,""payment"":430,""extra"":75}"
331,snowball_vs_avalanche,"Snowball vs Avalanche on $31,600. Which wins?","{""debts"":[{""name"":""Card B"",""balance"":9200,""apr"":22,""min"":230},{""name"":""Personal loan"",""balance"":3900,""apr"":16,""min"":100},{""name"":""Store card"",""balance"":14800,""apr"":28,""min"":370},{""name"":""Card C"",""balance"":3700,""apr"":21,""min"":90}],""budget"":990}"
332,utilization,"Your $6,600 balance on a $10,000 limit is hurting your score","{""balance"":6600,""limit"":10000}"
333,min_trap,"Why your $24,250 card balance never goes down","{""balance"":24250,""apr"":25,""min_pct"":1,""min_floor"":25}"
334,extra_payment,"Add $250 a month to a $39,500 balance. Watch what happens","{""balance"":39500,""apr"":20,""payment"":1400,""extra"":250}"
335,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $19,100","{""debts"":[{""name"":""Card C"",""balance"":3400,""apr"":14,""min"":85},{""name"":""Card B"",""balance"":13900,""apr"":23,""min"":350},{""name"":""Store card"",""balance"":1800,""apr"":18,""min"":45}],""budget"":580}"
336,utilization,"Pay this much before your statement closes ($3,900 on $5,000)","{""balance"":3900,""limit"":5000}"
337,min_trap,"Paying only the minimum on $15,500 takes HOW long?","{""balance"":15500,""apr"":28,""min_pct"":1,""min_floor"":25}"
338,extra_payment,"Add $175 a month to a $10,250 balance. Watch what happens","{""balance"":10250,""apr"":27,""payment"":350,""extra"":175}"
339,snowball_vs_avalanche,"2 debts, $15,500 total. Snowball or Avalanche?","{""debts"":[{""name"":""Personal loan"",""balance"":11200,""apr"":12,""min"":280},{""name"":""Card B"",""balance"":4300,""apr"":25,""min"":110}],""budget"":590}"
340,utilization,"Pay this much before your statement closes ($850 on $2,000)","{""balance"":850,""limit"":2000}"
341,min_trap,"What the minimum payment really costs on $12,750","{""balance"":12750,""apr"":29,""min_pct"":1,""min_floor"":25}"
342,extra_payment,"$47,250 at 25%: paying $1,220 vs $1,245 a month","{""balance"":47250,""apr"":25,""payment"":1220,""extra"":25}"
343,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $9,200","{""debts"":[{""name"":""Card A"",""balance"":8500,""apr"":12,""min"":210},{""name"":""Personal loan"",""balance"":700,""apr"":20,""min"":25}],""budget"":635}"
344,utilization,"The credit utilization math on a $1,000 limit","{""balance"":650,""limit"":1000}"
345,min_trap,"$20,250 at 29% APR, minimum payments only. Brutal math","{""balance"":20250,""apr"":29,""min_pct"":1,""min_floor"":25}"
346,extra_payment,"Add $100 a month to a $6,250 balance. Watch what happens","{""balance"":6250,""apr"":16,""payment"":210,""extra"":100}"
347,snowball_vs_avalanche,"Snowball vs Avalanche on $32,800. Which wins?","{""debts"":[{""name"":""Store card"",""balance"":5900,""apr"":24,""min"":150},{""name"":""Card D"",""balance"":7200,""apr"":19,""min"":180},{""name"":""Card C"",""balance"":14900,""apr"":19,""min"":370},{""name"":""Card A"",""balance"":4800,""apr"":14,""min"":120}],""budget"":1320}"
348,utilization,"The credit utilization math on a $5,000 limit","{""balance"":3500,""limit"":5000}"
349,min_trap,"$2,250 at 15% APR, minimum payments only. Brutal math","{""balance"":2250,""apr"":15,""min_pct"":1,""min_floor"":25}"
350,extra_payment,"The $75 trick that saves months on $5,000 of debt","{""balance"":5000,""apr"":28,""payment"":160,""extra"":75}"
351,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $8,200","{""debts"":[{""name"":""Personal loan"",""balance"":3800,""apr"":27,""min"":95},{""name"":""Card A"",""balance"":4400,""apr"":14,""min"":110}],""budget"":705}"
352,utilization,"Your $7,100 balance on a $10,000 limit is hurting your score","{""balance"":7100,""limit"":10000}"
353,min_trap,"What the minimum payment really costs on $1,500","{""balance"":1500,""apr"":18,""min_pct"":1,""min_floor"":25}"
354,extra_payment,"$8,000 credit card debt at 28% APR? Do this","{""balance"":8000,""apr"":28,""payment"":290,""extra"":250}"
355,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $40,200","{""debts"":[{""name"":""Card B"",""balance"":12600,""apr"":24,""min"":315},{""name"":""Personal loan"",""balance"":10300,""apr"":29,""min"":260},{""name"":""Card D"",""balance"":5300,""apr"":16,""min"":130},{""name"":""Store card"",""balance"":12000,""apr"":14,""min"":300}],""budget"":1405}"
356,utilization,"Your $2,200 balance on a $2,500 limit is hurting your score","{""balance"":2200,""limit"":2500}"
357,min_trap,"$23,500 at 21% APR, minimum payments only. Brutal math","{""balance"":23500,""apr"":21,""min_pct"":1,""min_floor"":25}"
358,extra_payment,"How $500 extra per month kills $34,250 of debt faster","{""balance"":34250,""apr"":25,""payment"":1050,""extra"":500}"
359,snowball_vs_avalanche,"Snowball vs Avalanche on $26,400. Which wins?","{""debts"":[{""name"":""Card D"",""balance"":4400,""apr"":24,""min"":110},{""name"":""Card A"",""balance"":10800,""apr"":16,""min"":270},{""name"":""Personal loan"",""balance"":11200,""apr"":22,""min"":280}],""budget"":860}"
360,utilization,33% credit utilization? Here is the fix,"{""balance"":500,""limit"":1500}"
361,min_trap,"The minimum payment trap on $11,750 of credit card debt","{""balance"":11750,""apr"":27,""min_pct"":1,""min_floor"":25}"
362,extra_payment,"How $50 extra per month kills $28,250 of debt faster","{""balance"":28250,""apr"":21,""payment"":750,""extra"":50}"
363,snowball_vs_avalanche,"3 debts, $17,300 total. Snowball or Avalanche?","{""debts"":[{""name"":""Personal loan"",""balance"":10400,""apr"":17,""min"":260},{""name"":""Card D"",""balance"":2500,""apr"":21,""min"":60},{""name"":""Card B"",""balance"":4400,""apr"":16,""min"":110}],""budget"":530}"
364,utilization,"Your $1,950 balance on a $3,000 limit is hurting your score","{""balance"":1950,""limit"":3000}"
365,min_trap,"Why your $9,750 card balance never goes down","{""balance"":9750,""apr"":18,""min_pct"":1,""min_floor"":25}"
366,extra_payment,"How $75 extra per month kills $30,000 of debt faster","{""balance"":30000,""apr"":18,""payment"":960,""extra"":75}"
367,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $24,900","{""debts"":[{""name"":""Card C"",""balance"":12700,""apr"":24,""min"":320},{""name"":""Store card"",""balance"":12200,""apr"":22,""min"":305}],""budget"":925}"
368,utilization,"Pay this much before your statement closes ($4,350 on $5,000)","{""balance"":4350,""limit"":5000}"
369,min_trap,"What the minimum payment really costs on $4,250","{""balance"":4250,""apr"":20,""min_pct"":1,""min_floor"":25}"
370,extra_payment,"$47,500 at 18%: paying $1,530 vs $1,605 a month","{""balance"":47500,""apr"":18,""payment"":1530,""extra"":75}"
371,snowball_vs_avalanche,"3 debts, $32,400 total. Snowball or Avalanche?","{""debts"":[{""name"":""Card C"",""balance"":12400,""apr"":25,""min"":310},{""name"":""Store card"",""balance"":10300,""apr"":16,""min"":260},{""name"":""Card A"",""balance"":9700,""apr"":19,""min"":240}],""budget"":1010}"
372,utilization,"Pay this much before your statement closes ($950 on $1,500)","{""balance"":950,""limit"":1500}"
373,min_trap,"Why your $13,250 card balance never goes down","{""balance"":13250,""apr"":29,""min_pct"":1,""min_floor"":25}"
374,extra_payment,"The $400 trick that saves months on $27,750 of debt","{""balance"":27750,""apr"":27,""payment"":1100,""extra"":400}"
375,snowball_vs_avalanche,"Smallest balance first or highest APR first? $31,500 test","{""debts"":[{""name"":""Card C"",""balance"":4300,""apr"":28,""min"":110},{""name"":""Card A"",""balance"":11300,""apr"":29,""min"":280},{""name"":""Personal loan"",""balance"":8900,""apr"":19,""min"":220},{""name"":""Card D"",""balance"":7000,""apr"":24,""min"":175}],""budget"":1085}"
376,utilization,54% credit utilization? Here is the fix,"{""balance"":2150,""limit"":4000}"
377,min_trap,"What the minimum payment really costs on $12,000","{""balance"":12000,""apr"":18,""min_pct"":1,""min_floor"":25}"
378,extra_payment,"How $300 extra per month kills $24,750 of debt faster","{""balance"":24750,""apr"":22,""payment"":650,""extra"":300}"
379,snowball_vs_avalanche,"Snowball vs Avalanche on $13,000. Which wins?","{""debts"":[{""name"":""Store card"",""balance"":12200,""apr"":15,""min"":305},{""name"":""Card A"",""balance"":800,""apr"":22,""min"":25}],""budget"":830}"
380,utilization,"How much to pay to get under 30% utilization on a $15,000 card","{""balance"":12900,""limit"":15000}"
381,min_trap,"$23,250 at 26% APR, minimum payments only. Brutal math","{""balance"":23250,""apr"":26,""min_pct"":1,""min_floor"":25}"
382,extra_payment,"$26,250 at 23%: paying $720 vs $1,120 a month","{""balance"":26250,""apr"":23,""payment"":720,""extra"":400}"
383,snowball_vs_avalanche,"3 debts, $14,600 total. Snowball or Avalanche?","{""debts"":[{""name"":""Card D"",""balance"":10200,""apr"":22,""min"":255},{""name"":""Store card"",""balance"":2200,""apr"":21,""min"":55},{""name"":""Card A"",""balance"":2200,""apr"":23,""min"":55}],""budget"":865}"
384,utilization,"The credit utilization math on a $10,000 limit","{""balance"":5900,""limit"":10000}"
385,min_trap,"Why your $15,250 card balance never goes down","{""balance"":15250,""apr"":24,""min_pct"":1,""min_floor"":25}"
386,extra_payment,"The $75 trick that saves months on $21,750 of debt","{""balance"":21750,""apr"":22,""payment"":750,""extra"":75}"
387,snowball_vs_avalanche,"3 debts, $27,000 total. Snowball or Avalanche?","{""debts"":[{""name"":""Card C"",""balance"":3200,""apr"":26,""min"":80},{""name"":""Store card"",""balance"":9500,""apr"":23,""min"":240},{""name"":""Card B"",""balance"":14300,""apr"":27,""min"":360}],""budget"":830}"
388,utilization,"Pay this much before your statement closes ($3,500 on $5,000)","{""balance"":3500,""limit"":5000}"
389,min_trap,"Why your $16,750 card balance never goes down","{""balance"":16750,""apr"":21,""min_pct"":1,""min_floor"":25}"
390,extra_payment,"$21,250 credit card debt at 28% APR? Do this","{""balance"":21250,""apr"":28,""payment"":670,""extra"":75}"
391,snowball_vs_avalanche,"5 debts, $45,100 total. Snowball or Avalanche?","{""debts"":[{""name"":""Personal loan"",""balance"":4400,""apr"":29,""min"":110},{""name"":""Card D"",""balance"":12400,""apr"":23,""min"":310},{""name"":""Card A"",""balance"":8400,""apr"":13,""min"":210},{""name"":""Store card"",""balance"":11500,""apr"":26,""min"":290},{""name"":""Card C"",""balance"":8400,""apr"":25,""min"":210}],""budget"":1230}"
392,utilization,"Your $2,700 balance on a $3,000 limit is hurting your score","{""balance"":2700,""limit"":3000}"
393,min_trap,"Paying only the minimum on $11,750 takes HOW long?","{""balance"":11750,""apr"":20,""min_pct"":1,""min_floor"":25}"
394,extra_payment,"Add $100 a month to a $22,500 balance. Watch what happens","{""balance"":22500,""apr"":16,""payment"":820,""extra"":100}"
395,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $35,100","{""debts"":[{""name"":""Card D"",""balance"":9400,""apr"":18,""min"":235},{""name"":""Personal loan"",""balance"":12300,""apr"":13,""min"":310},{""name"":""Card C"",""balance"":8800,""apr"":29,""min"":220},{""name"":""Card A"",""balance"":4600,""apr"":29,""min"":115}],""budget"":1030}"
396,utilization,53% credit utilization? Here is the fix,"{""balance"":10600,""limit"":20000}"
397,min_trap,"What the minimum payment really costs on $14,750","{""balance"":14750,""apr"":28,""min_pct"":1,""min_floor"":25}"
398,extra_payment,"Add $75 a month to a $49,750 balance. Watch what happens","{""balance"":49750,""apr"":28,""payment"":1730,""extra"":75}"
399,snowball_vs_avalanche,"Snowball vs Avalanche on $28,700. Which wins?","{""debts"":[{""name"":""Card D"",""balance"":11500,""apr"":24,""min"":290},{""name"":""Store card"",""balance"":7600,""apr"":20,""min"":190},{""name"":""Card B"",""balance"":9600,""apr"":24,""min"":240}],""budget"":1020}"
400,utilization,"Your $12,750 balance on a $15,000 limit is hurting your score","{""balance"":12750,""limit"":15000}"
401,min_trap,"The minimum payment trap on $10,750 of credit card debt","{""balance"":10750,""apr"":26,""min_pct"":1,""min_floor"":25}"
402,extra_payment,"$29,500 at 28%: paying $1,080 vs $1,130 a month","{""balance"":29500,""apr"":28,""payment"":1080,""extra"":50}"
403,snowball_vs_avalanche,"4 debts, $32,100 total. Snowball or Avalanche?","{""debts"":[{""name"":""Card D"",""balance"":9600,""apr"":26,""min"":240},{""name"":""Card A"",""balance"":700,""apr"":17,""min"":25},{""name"":""Personal loan"",""balance"":6900,""apr"":12,""min"":170},{""name"":""Card C"",""balance"":14900,""apr"":25,""min"":370}],""budget"":955}"
404,utilization,40% credit utilization? Here is the fix,"{""balance"":1200,""limit"":3000}"
405,min_trap,"$7,000 at 20% APR, minimum payments only. Brutal math","{""balance"":7000,""apr"":20,""min_pct"":1,""min_floor"":25}"
406,extra_payment,"$3,500 at 25%: paying $100 vs $200 a month","{""balance"":3500,""apr"":25,""payment"":100,""extra"":100}"
407,snowball_vs_avalanche,"2 debts, $22,900 total. Snowball or Avalanche?","{""debts"":[{""name"":""Card A"",""balance"":12300,""apr"":25,""min"":310},{""name"":""Store card"",""balance"":10600,""apr"":27,""min"":265}],""budget"":675}"
408,utilization,"Your $2,000 balance on a $5,000 limit is hurting your score","{""balance"":2000,""limit"":5000}"
409,min_trap,"The minimum payment trap on $3,500 of credit card debt","{""balance"":3500,""apr"":20,""min_pct"":1,""min_floor"":25}"
410,extra_payment,"Add $75 a month to a $7,750 balance. Watch what happens","{""balance"":7750,""apr"":27,""payment"":290,""extra"":75}"
411,snowball_vs_avalanche,"2 debts, $7,500 total. Snowball or Avalanche?","{""debts"":[{""name"":""Personal loan"",""balance"":600,""apr"":17,""min"":25},{""name"":""Card D"",""balance"":6900,""apr"":18,""min"":170}],""budget"":695}"
412,utilization,"Your $1,000 balance on a $2,500 limit is hurting your score","{""balance"":1000,""limit"":2500}"
413,min_trap,"Why your $18,500 card balance never goes down","{""balance"":18500,""apr"":20,""min_pct"":1,""min_floor"":25}"
414,extra_payment,"Add $50 a month to a $16,500 balance. Watch what happens","{""balance"":16500,""apr"":17,""payment"":470,""extra"":50}"
415,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $18,000","{""debts"":[{""name"":""Card B"",""balance"":9800,""apr"":14,""min"":245},{""name"":""Card C"",""balance"":8200,""apr"":12,""min"":205}],""budget"":650}"
416,utilization,"Pay this much before your statement closes ($1,200 on $2,000)","{""balance"":1200,""limit"":2000}"
417,min_trap,"$11,000 at 23% APR, minimum payments only. Brutal math","{""balance"":11000,""apr"":23,""min_pct"":1,""min_floor"":25}"
418,extra_payment,"$38,250 credit card debt at 27% APR? Do this","{""balance"":38250,""apr"":27,""payment"":1000,""extra"":500}"
419,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $15,400","{""debts"":[{""name"":""Store card"",""balance"":1100,""apr"":13,""min"":30},{""name"":""Card B"",""balance"":14300,""apr"":24,""min"":360}],""budget"":790}"
420,utilization,"Pay this much before your statement closes ($12,000 on $15,000)","{""balance"":12000,""limit"":15000}"
421,min_trap,"Why your $19,500 card balance never goes down","{""balance"":19500,""apr"":21,""min_pct"":1,""min_floor"":25}"
422,extra_payment,"How $75 extra per month kills $5,000 of debt faster","{""balance"":5000,""apr"":23,""payment"":170,""extra"":75}"
423,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $22,500","{""debts"":[{""name"":""Store card"",""balance"":7900,""apr"":18,""min"":200},{""name"":""Card A"",""balance"":14600,""apr"":16,""min"":365}],""budget"":965}"
424,utilization,"Your $3,600 balance on a $5,000 limit is hurting your score","{""balance"":3600,""limit"":5000}"
425,min_trap,"$8,500 at 21% APR, minimum payments only. Brutal math","{""balance"":8500,""apr"":21,""min_pct"":1,""min_floor"":25}"
426,extra_payment,"$3,750 at 16%: paying $150 vs $200 a month","{""balance"":3750,""apr"":16,""payment"":150,""extra"":50}"
427,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $12,900","{""debts"":[{""name"":""Store card"",""balance"":2200,""apr"":16,""min"":55},{""name"":""Card B"",""balance"":10700,""apr"":17,""min"":270}],""budget"":625}"
428,utilization,84% credit utilization? Here is the fix,"{""balance"":16800,""limit"":20000}"
429,min_trap,"Paying only the minimum on $18,500 takes HOW long?","{""balance"":18500,""apr"":16,""min_pct"":1,""min_floor"":25}"
430,extra_payment,"How $50 extra per month kills $17,500 of debt faster","{""balance"":17500,""apr"":21,""payment"":510,""extra"":50}"
431,snowball_vs_avalanche,"2 debts, $15,600 total. Snowball or Avalanche?","{""debts"":[{""name"":""Card C"",""balance"":7900,""apr"":13,""min"":200},{""name"":""Card D"",""balance"":7700,""apr"":17,""min"":190}],""budget"":590}"
432,utilization,"Your $2,500 balance on a $3,000 limit is hurting your score","{""balance"":2500,""limit"":3000}"
433,min_trap,"Paying only the minimum on $22,500 takes HOW long?","{""balance"":22500,""apr"":25,""min_pct"":1,""min_floor"":25}"
434,extra_payment,"Add $25 a month to a $12,250 balance. Watch what happens","{""balance"":12250,""apr"":23,""payment"":310,""extra"":25}"
435,snowball_vs_avalanche,"Snowball vs Avalanche on $27,000. Which wins?","{""debts"":[{""name"":""Store card"",""balance"":13800,""apr"":22,""min"":345},{""name"":""Card B"",""balance"":4400,""apr"":14,""min"":110},{""name"":""Card C"",""balance"":8800,""apr"":15,""min"":220}],""budget"":1075}"
436,utilization,"Pay this much before your statement closes ($1,000 on $2,000)","{""balance"":1000,""limit"":2000}"
437,min_trap,"Paying only the minimum on $24,500 takes HOW long?","{""balance"":24500,""apr"":21,""min_pct"":1,""min_floor"":25}"
438,extra_payment,"How $150 extra per month kills $44,000 of debt faster","{""balance"":44000,""apr"":28,""payment"":1290,""extra"":150}"
439,snowball_vs_avalanche,"Snowball vs Avalanche on $37,600. Which wins?","{""debts"":[{""name"":""Card C"",""balance"":15000,""apr"":18,""min"":375},{""name"":""Store card"",""balance"":11100,""apr"":29,""min"":280},{""name"":""Card D"",""balance"":11500,""apr"":19,""min"":290}],""budget"":1095}"
440,utilization,"Your $5,700 balance on a $10,000 limit is hurting your score","{""balance"":5700,""limit"":10000}"
441,min_trap,"The minimum payment trap on $21,500 of credit card debt","{""balance"":21500,""apr"":26,""min_pct"":1,""min_floor"":25}"
442,extra_payment,"$6,000 at 23%: paying $240 vs $365 a month","{""balance"":6000,""apr"":23,""payment"":240,""extra"":125}"
443,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $15,300","{""debts"":[{""name"":""Card B"",""balance"":1800,""apr"":19,""min"":45},{""name"":""Store card"",""balance"":13500,""apr"":28,""min"":340}],""budget"":685}"
444,utilization,"Your $6,150 balance on a $7,500 limit is hurting your score","{""balance"":6150,""limit"":7500}"
445,min_trap,"$15,000 at 23% APR, minimum payments only. Brutal math","{""balance"":15000,""apr"":23,""min_pct"":1,""min_floor"":25}"
446,extra_payment,"$32,250 credit card debt at 21% APR? Do this","{""balance"":32250,""apr"":21,""payment"":840,""extra"":500}"
447,snowball_vs_avalanche,"Snowball vs Avalanche on $35,000. Which wins?","{""debts"":[{""name"":""Card D"",""balance"":12800,""apr"":24,""min"":320},{""name"":""Card B"",""balance"":10700,""apr"":22,""min"":270},{""name"":""Personal loan"",""balance"":5100,""apr"":20,""min"":130},{""name"":""Card C"",""balance"":3900,""apr"":18,""min"":100},{""name"":""Store card"",""balance"":2500,""apr"":15,""min"":60}],""budget"":1030}"
448,utilization,"Your $2,450 balance on a $4,000 limit is hurting your score","{""balance"":2450,""limit"":4000}"
449,min_trap,"$13,750 at 27% APR, minimum payments only. Brutal math","{""balance"":13750,""apr"":27,""min_pct"":1,""min_floor"":25}"
450,extra_payment,"$23,250 credit card debt at 22% APR? Do this","{""balance"":23250,""apr"":22,""payment"":670,""extra"":50}"
451,snowball_vs_avalanche,"Snowball vs Avalanche on $20,800. Which wins?","{""debts"":[{""name"":""Card D"",""balance"":3600,""apr"":22,""min"":90},{""name"":""Store card"",""balance"":2700,""apr"":19,""min"":70},{""name"":""Card A"",""balance"":14500,""apr"":24,""min"":360}],""budget"":920}"
452,utilization,"Pay this much before your statement closes ($5,250 on $7,500)","{""balance"":5250,""limit"":7500}"
453,min_trap,"Paying only the minimum on $7,000 takes HOW long?","{""balance"":7000,""apr"":22,""min_pct"":1,""min_floor"":25}"
454,extra_payment,"How $250 extra per month kills $41,750 of debt faster","{""balance"":41750,""apr"":18,""payment"":1130,""extra"":250}"
455,snowball_vs_avalanche,"Snowball vs Avalanche on $14,700. Which wins?","{""debts"":[{""name"":""Card A"",""balance"":1100,""apr"":26,""min"":30},{""name"":""Store card"",""balance"":1200,""apr"":25,""min"":30},{""name"":""Card D"",""balance"":12400,""apr"":24,""min"":310}],""budget"":670}"
456,utilization,52% credit utilization? Here is the fix,"{""balance"":1050,""limit"":2000}"
457,min_trap,"$15,750 at 24% APR, minimum payments only. Brutal math","{""balance"":15750,""apr"":24,""min_pct"":1,""min_floor"":25}"
458,extra_payment,"$32,750 at 22%: paying $1,020 vs $1,420 a month","{""balance"":32750,""apr"":22,""payment"":1020,""extra"":400}"
459,snowball_vs_avalanche,"Smallest balance first or highest APR first? $9,500 test","{""debts"":[{""name"":""Card A"",""balance"":6100,""apr"":25,""min"":150},{""name"":""Store card"",""balance"":3400,""apr"":28,""min"":85}],""budget"":385}"
460,utilization,"Pay this much before your statement closes ($3,700 on $4,000)","{""balance"":3700,""limit"":4000}"
461,min_trap,"What the minimum payment really costs on $5,250","{""balance"":5250,""apr"":20,""min_pct"":1,""min_floor"":25}"
462,extra_payment,"$11,750 credit card debt at 29% APR? Do this","{""balance"":11750,""apr"":29,""payment"":440,""extra"":150}"
463,snowball_vs_avalanche,"5 debts, $34,500 total. Snowball or Avalanche?","{""debts"":[{""name"":""Personal loan"",""balance"":4100,""apr"":19,""min"":100},{""name"":""Store card"",""balance"":4400,""apr"":13,""min"":110},{""name"":""Card B"",""balance"":11600,""apr"":19,""min"":290},{""name"":""Card A"",""balance"":8800,""apr"":24,""min"":220},{""name"":""Card D"",""balance"":5600,""apr"":17,""min"":140}],""budget"":1010}"
464,utilization,55% credit utilization? Here is the fix,"{""balance"":6600,""limit"":12000}"
465,min_trap,"The minimum payment trap on $23,000 of credit card debt","{""balance"":23000,""apr"":15,""min_pct"":1,""min_floor"":25}"
466,extra_payment,"$47,500 at 24%: paying $1,290 vs $1,390 a month","{""balance"":47500,""apr"":24,""payment"":1290,""extra"":100}"
467,snowball_vs_avalanche,"4 debts, $14,800 total. Snowball or Avalanche?","{""debts"":[{""name"":""Card B"",""balance"":1300,""apr"":19,""min"":30},{""name"":""Card C"",""balance"":800,""apr"":27,""min"":25},{""name"":""Card A"",""balance"":500,""apr"":18,""min"":25},{""name"":""Personal loan"",""balance"":12200,""apr"":22,""min"":305}],""budget"":885}"
468,utilization,"Your $1,500 balance on a $4,000 limit is hurting your score","{""balance"":1500,""limit"":4000}"
469,min_trap,"$4,500 at 26% APR, minimum payments only. Brutal math","{""balance"":4500,""apr"":26,""min_pct"":1,""min_floor"":25}"
470,extra_payment,"$39,000 credit card debt at 28% APR? Do this","{""balance"":39000,""apr"":28,""payment"":1280,""extra"":200}"
471,snowball_vs_avalanche,"Smallest balance first or highest APR first? $41,400 test","{""debts"":[{""name"":""Card D"",""balance"":4900,""apr"":16,""min"":120},{""name"":""Card C"",""balance"":14600,""apr"":25,""min"":365},{""name"":""Card A"",""balance"":12000,""apr"":27,""min"":300},{""name"":""Card B"",""balance"":9900,""apr"":17,""min"":250}],""budget"":1535}"
472,utilization,"Pay this much before your statement closes ($18,200 on $20,000)","{""balance"":18200,""limit"":20000}"
473,min_trap,"What the minimum payment really costs on $20,000","{""balance"":20000,""apr"":18,""min_pct"":1,""min_floor"":25}"
474,extra_payment,"Add $150 a month to a $41,000 balance. Watch what happens","{""balance"":41000,""apr"":21,""payment"":1210,""extra"":150}"
475,snowball_vs_avalanche,"Smallest balance first or highest APR first? $29,800 test","{""debts"":[{""name"":""Card D"",""balance"":12800,""apr"":13,""min"":320},{""name"":""Card A"",""balance"":3100,""apr"":22,""min"":80},{""name"":""Card C"",""balance"":13900,""apr"":19,""min"":350}],""budget"":1250}"
476,utilization,"Your $1,100 balance on a $2,000 limit is hurting your score","{""balance"":1100,""limit"":2000}"
477,min_trap,"$6,750 at 20% APR, minimum payments only. Brutal math","{""balance"":6750,""apr"":20,""min_pct"":1,""min_floor"":25}"
478,extra_payment,"$32,250 at 16%: paying $1,200 vs $1,400 a month","{""balance"":32250,""apr"":16,""payment"":1200,""extra"":200}"
479,snowball_vs_avalanche,"Snowball vs Avalanche on $9,700. Which wins?","{""debts"":[{""name"":""Store card"",""balance"":4100,""apr"":14,""min"":100},{""name"":""Card B"",""balance"":5600,""apr"":15,""min"":140}],""budget"":740}"
480,utilization,"Your $1,250 balance on a $2,000 limit is hurting your score","{""balance"":1250,""limit"":2000}"
481,min_trap,"The minimum payment trap on $20,250 of credit card debt","{""balance"":20250,""apr"":15,""min_pct"":1,""min_floor"":25}"
482,extra_payment,"How $50 extra per month kills $2,000 of debt faster","{""balance"":2000,""apr"":19,""payment"":80,""extra"":50}"
483,snowball_vs_avalanche,"3 debts, $24,500 total. Snowball or Avalanche?","{""debts"":[{""name"":""Card C"",""balance"":8400,""apr"":14,""min"":210},{""name"":""Card B"",""balance"":5400,""apr"":27,""min"":135},{""name"":""Card A"",""balance"":10700,""apr"":25,""min"":270}],""budget"":1115}"
484,utilization,"Your $750 balance on a $2,000 limit is hurting your score","{""balance"":750,""limit"":2000}"
485,min_trap,"Why your $9,000 card balance never goes down","{""balance"":9000,""apr"":18,""min_pct"":1,""min_floor"":25}"
486,extra_payment,"How $400 extra per month kills $35,250 of debt faster","{""balance"":35250,""apr"":26,""payment"":1370,""extra"":400}"
487,snowball_vs_avalanche,"Smallest balance first or highest APR first? $26,900 test","{""debts"":[{""name"":""Store card"",""balance"":6200,""apr"":29,""min"":155},{""name"":""Card B"",""balance"":12700,""apr"":16,""min"":320},{""name"":""Card A"",""balance"":1300,""apr"":12,""min"":30},{""name"":""Card C"",""balance"":6700,""apr"":21,""min"":170}],""budget"":1275}"
488,utilization,"Your $3,500 balance on a $7,500 limit is hurting your score","{""balance"":3500,""limit"":7500}"
489,min_trap,"The minimum payment trap on $1,500 of credit card debt","{""balance"":1500,""apr"":17,""min_pct"":1,""min_floor"":25}"
490,extra_payment,"$49,000 at 22%: paying $1,850 vs $2,000 a month","{""balance"":49000,""apr"":22,""payment"":1850,""extra"":150}"
491,snowball_vs_avalanche,"Snowball vs Avalanche on $30,000. Which wins?","{""debts"":[{""name"":""Card C"",""balance"":3200,""apr"":24,""min"":80},{""name"":""Store card"",""balance"":5900,""apr"":26,""min"":150},{""name"":""Card A"",""balance"":1100,""apr"":26,""min"":30},{""name"":""Personal loan"",""balance"":7200,""apr"":19,""min"":180},{""name"":""Card B"",""balance"":12600,""apr"":13,""min"":315}],""budget"":905}"
492,utilization,"Pay this much before your statement closes ($6,100 on $10,000)","{""balance"":6100,""limit"":10000}"
